GUJARAT MANDI'S MARKET,Latitude,Longitude,District
Panvad,22.4005,73.7732,Chhota Udepur
Chachak,22.4384,73.6407,Chhota Udepur
Kalediya,22.3804,73.7292,Chhota Udepur
Tejgarh,22.474,73.8264,Chhota Udepur
Hadad,22.5071,73.9524,Dahod
Modasar,22.5461,73.6732,Panchmahal
Thalkala,22.5231,73.9206,Dahod
Dahod,22.831,74.2551,Dahod
Dahod (Veg. Market),22.8372,74.2533,Dahod
Limkheda,22.8379,74.1236,Dahod
Dahod (Garbada),22.72,74.2585,Dahod
Davgadbaria (Piplod),22.697,74.026,Dahod
Zalod (Sanjeli),23.0017,74.7165,Dahod
Dahod (Himalaya),22.8405,74.2512,Dahod
Devgadhbaria,22.705,74.0953,Dahod
Zalod (Zalod),23.0366,74.7234,Dahod
Dahod (Jesavada),22.8585,74.222,Dahod
Jhalod,23.0948,74.1586,Dahod
Bhanvad,21.9304,69.7796,Devbhoomi Dwarka
Jam Khambhalia,22.2089,69.6508,Devbhoomi Dwarka
Dehgam,23.1692,72.8211,Gandhinagar
Dehgam (Rekhiyal),23.2,72.866,Gandhinagar
Kalol,23.2237,72.4912,Gandhinagar
"Kalol (Veg. Market, Kalol)",23.225,72.495,Gandhinagar
Mansa,23.43,72.6664,Gandhinagar
Mansa (Mansa Veg Yard),23.435,72.66,Gandhinagar
Radheja,23.1578,72.6373,Gandhinagar
Randheja (Chiloda),23.1589,72.645,Gandhinagar
Randheja (Veg. Market Gandhinagar),23.1605,72.6467,Gandhinagar
Kodinar,20.793,70.7036,Gir Somnath
Una,20.8232,71.0354,Gir Somnath
Veraval,20.9059,70.3683,Gir Somnath
Talalagir,21.0762,70.4581,Gir Somnath
Bhatiya,22.2747,69.0897,Devbhumi Dwarka
Jamnagar,22.4707,70.0577,Jamnagar
Kalawad,22.2082,70.3833,Jamnagar
Dhrol,22.561,70.4136,Jamnagar
Jodiya,22.7001,70.2833,Jamnagar
Lalpur,22.2184,69.9633,Jamnagar
Jam Jodhpur,22.4126,69.9855,Jamnagar
Bhesan,21.6703,70.5031,Junagadh
Kodinar (Dollasa),20.835,70.739,Gir Somnath
Mangrol,21.1226,70.1169,Junagadh
Junagadh,21.5222,70.4579,Junagadh
Junagadh (Veg Yard Junagadh),21.5235,70.464,Junagadh
Malia Hatina,21.3213,70.2713,Junagadh
Vanthli,21.5616,70.4406,Junagadh
Manavdar,21.5014,70.1367,Junagadh
Visavadar,21.3391,70.7486,Junagadh
Keshod,21.2992,70.2701,Junagadh
Abadasa,23.195,69.784,Kutch (Kachchh)
Bachau,23.095,69.931,Kutch (Kachchh)
Mundra,22.7914,69.7072,Kutch (Kachchh)
Anjar,23.094,70.1285,Kutch (Kachchh)
Bhuj,23.244,69.6667,Kutch (Kachchh)
Nakhatrana,23.222,69.992,Kutch (Kachchh)
"Anjar (Veg,Sub Yard)",23.0939,70.1286,Kutch (Kachchh)
K.Mandvi (Kandla Mandvi),22.8748,70.2031,Kutch (Kachchh)
Rapar,23.6357,70.8026,Kutch (Kachchh)
Balasinor,22.767,73.123,Mahisagar
Matar,22.7198,72.7877,Kheda
Nadiyad (Chaklasi),22.701,72.94,Kheda
Kapadanj (Moti Jaher),22.508,73.213,Kheda
Matar (Limbasi),22.72,72.789,Kheda
Nadiyad (Piplag),22.718,72.947,Kheda
Kapadvanj,22.5876,73.2046,Kheda
Mehmadabad,22.579,72.841,Kheda
Thasara,22.56,72.978,Kheda
Kathlal,22.675,72.998,Kheda
"Mehmadabad (Veg, Market)",22.579,72.841,Kheda
Thasara (Dokar),22.56,72.978,Kheda
Kheda,22.6836,72.6931,Kheda
Nadiad,22.6979,72.8634,Kheda
Virpur,22.774,73.096,Mahisagar
Kheda (Nayaka),22.688,72.695,Kheda
Becharaji,23.3887,72.5032,Mahesana
Unava,23.5964,72.4467,Mahesana
Vijapur (Gojjariya),23.4663,72.5731,Mahesana
Kadi,23.3646,72.452,Mahesana
Unjha,23.7481,72.3775,Mahesana
Vijapur (Kukarvada),23.4663,72.5731,Mahesana
Kadi (Kadi cotton Yard),23.3646,72.452,Mahesana
Vadnagar,23.8507,72.6444,Mahesana
Vijapur (Ladol),23.4663,72.5731,Mahesana
Mehsana,23.588,72.3988,Mahesana
Vadnagar (Kheralu),23.8507,72.6444,Mahesana
Vijapur (veg),23.4663,72.5731,Mahesana
Mehsana (Jornang),23.588,72.3988,Mahesana
Vijapur,23.4663,72.5731,Mahesana
Visnagar,23.6937,72.68,Mahesana
Mehsana (Mehsana Veg),23.588,72.3988,Mahesana
Halvad,22.8264,71.046,Morbi
Morbi,22.8227,70.8137,Morbi
Vankaner,22.7556,71.2512,Morbi
Dediyapada,21.9325,73.4746,Narmada
Selemba (Navgam Javli),21.917,73.526,Narmada
Tilakwada,21.794,73.465,Narmada
Rajpipla,21.7916,73.509,Narmada
Bilimora,20.799,72.9335,Navsari
Chikhali,20.739,72.98,Navsari
Vansda,20.73,73.09,Navsari
Bilimora (Gandevi),20.788,72.928,Navsari
Navsari,20.9467,72.9529,Navsari
Vansda (Limzar),20.73,73.09,Navsari
Derol,22.95,73.315,Panchmahal
Derol (Adadara),22.948,73.316,Panchmahal
Derol (Vejalpur),22.949,73.317,Panchmahal
Gogamba,23.001,73.29,Panchmahal
Gogamba (Similiya),23.002,73.292,Panchmahal
Lunavada (Kobamba),23.127,73.362,Mahisagar
Lunavada,23.128,73.36,Mahisagar
Morva Hafad,22.95,73.63,Panchmahal
Halol,22.81,73.485,Panchmahal
Santrampur,22.644,73.484,Mahisagar
Santrampur (Fathaepura),22.642,73.482,Mahisagar
Godhra,22.7775,73.6151,Panchmahal
Godhra (Kakanpur),22.776,73.614,Panchmahal
Godhra (Timbaroad),22.778,73.616,Panchmahal
Khanpur,22.908,73.471,Panchmahal
Shehra,22.752,73.615,Panchmahal
Harij,23.931,71.733,Patan
Radhanpur,23.918,71.633,Patan
Siddhpur,23.917,72.114,Patan
Patan,23.85,72.126,Patan
Sami,23.849,71.679,Patan
Varahi,23.9,71.55,Patan
"Patan (Veg, Yard Patan)",23.85,72.126,Patan
Kutiyana,21.6532,69.7005,Porbandar
Porbandar,21.6417,69.6091,Porbandar
Dhoraji,21.8003,70.7119,Rajkot
Jasdan,21.6413,70.5223,Rajkot
Rajkot,22.3039,70.8022,Rajkot
Gondal,21.9653,70.8127,Rajkot
Jasdan (Vichhiya),21.6413,70.5223,Rajkot
Rajkot (Veg. Sub Yard),22.3039,70.8022,Rajkot
Gondal (Veg. Market Gondal),21.9653,70.8127,Rajkot
Jetpur (Dist. Rajkot),21.7655,70.4666,Rajkot
Upleta,21.6272,70.2013,Rajkot
Jamkandorna,21.7975,70.2242,Rajkot
Bayad,23.0005,72.8098,Aravalli
Bayad (Demai),23.0005,72.8098,Aravalli
Bayad (Sadamba),23.0005,72.8098,Aravalli
Idar,23.1606,72.8994,Sabarkantha
Idar (Jadar),23.1606,72.8994,Sabarkantha
Modasa,23.3251,73.1735,Aravalli
Modasa (Tintoi),23.3251,73.1735,Aravalli
Khedbrahma,23.2007,73.2228,Sabarkantha
Khedbrahma (Lambadia),23.2007,73.2228,Sabarkantha
Khedbrahma (Posina),23.2007,73.2228,Sabarkantha
Prantij,23.1082,72.8525,Sabarkantha
Prantij (Salala),23.1082,72.8525,Sabarkantha
Bhiloda,23.2725,72.886,Aravalli
Dhansura,23.2748,73.1177,Aravalli
Talod,23.4111,72.8547,Sabarkantha
Talod (Harsol),23.4111,72.8547,Sabarkantha
Himatnagar,23.5923,72.953,Sabarkantha
Himatnagar (Gambhoi),23.5923,72.953,Sabarkantha
Himatnagar (Veg. Market Himatnagar),23.5923,72.953,Sabarkantha
Malpur,23.5017,73.0555,Aravalli
Meghraj,23.4383,73.2864,Sabarkantha
Meghraj (Radlavada),23.4383,73.2864,Sabarkantha
Vadali,23.345,72.8125,Sabarkantha
Vijaynagar (Kundlakap),23.4446,72.8298,Sabarkantha
Bardoli,21.097,73.109,Surat
Bardoli (Katod),21.097,73.109,Surat
Mandvi,21.2929,73.2972,Surat
Mandvi (Amba Paradi),21.2929,73.2972,Surat
Surat,21.1702,72.8311,Surat
Uchhal,21.526,73.433,Tapi
Uchhal (Karod),21.526,73.433,Tapi
Kosamba,21.2872,73.0291,Surat
Kosamba (Vankal),21.2872,73.0291,Surat
Kosamba (Zangvav),21.2872,73.0291,Surat
Nizar,21.391,73.411,Tapi
Nizar (Kukarmuda),21.391,73.411,Tapi
Valod,21.353,73.384,Surat
Valod (Buhari),21.353,73.384,Surat
Songadh,20.9755,73.484,Tapi
Songadh (Badarpada),20.9755,73.484,Tapi
Songadh (Umrada),20.9755,73.484,Tapi
Mahuva,21.222,73.207,Surat
Mahuva (Anaval),21.222,73.207,Surat
Vyara,21.1283,73.3614,Tapi
Vyara (Paati),21.1283,73.3614,Tapi
Chotila,22.3725,71.2825,Surendranagar
"Chotila (Veg, Yard)",22.3725,71.2825,Surendranagar
Dhrangadhra,22.8,71.42,Surendranagar
Muli,22.4976,71.403,Surendranagar
Lakhtar,22.2948,71.248,Surendranagar
Sayala,22.373,71.621,Surendranagar
"Chotila (Veg, Yard Chotila)",22.3725,71.2825,Surendranagar
Limdi,22.3931,71.523,Surendranagar
Vadhwan (Wadhvan),22.5592,71.4673,Surendranagar
Dasada Patadi,22.245,71.14,Surendranagar
Ahwa Dang,20.7073,73.5737,Dang
Chhota Udaipur,21.6944,73.0428,Chhota Udaipur
Nasvadi,21.5858,73.1257,Chhota Udaipur
Shinor,21.668,73.1185,Vadodara
Dabhoi (Kayavarohan),22.1824,73.0165,Vadodara
Padra,22.2721,73.0831,Vadodara
Vadodara,22.3072,73.1812,Vadodara
Daboi,22.1824,73.0165,Vadodara
Savli,22.2602,73.1395,Vadodara
Vadodara (Navapura),22.3072,73.1812,Vadodara
Karjan,22.1533,73.2205,Vadodara
Savli (Desar),22.2602,73.1395,Vadodara
Vadodara (Sayajipura),22.3072,73.1812,Vadodara
Kawant,21.5675,73.4125,Vadodara
Savli (Samlaya),22.2602,73.1395,Vadodara
Vagodiya,21.5665,73.1607,Vadodara
Chikli (Khorgam),20.44,73.168,Valsad
Pardi (Motavagachiya),20.468,72.933,Valsad
Pardi (Vapi),20.3863,72.8996,Valsad
Dharampur (Veg),20.5505,73.2531,Valsad
Pardi,20.468,72.933,Valsad
Pardi (Rohinee),20.468,72.933,Valsad
Valsad,20.6096,72.9292,Valsad
Pardi (Ugvada),20.468,72.933,Valsad
Valsad (Dungari),20.6096,72.9292,Valsad
