cached_date,state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
2026-05-23,Gujarat,Amreli,Bagasara APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Local,23/05/2026,4500,5350,4925
2026-05-23,Gujarat,Amreli,Bagasara APMC,"Sesamum(Sesame,Gingelly,Til)",White,Local,23/05/2026,10000,11500,10750
2026-05-23,Gujarat,Banaskanth,Vadgam APMC,Wheat,Other,FAQ,23/05/2026,2220,2305,2225
2026-05-23,Gujarat,Gandhinagar,Kalol APMC,Mustard,Mustard,Local,23/05/2026,7030,7070,7050
2026-05-23,Gujarat,Gandhinagar,Dehgam APMC,Paddy(Common),Other,FAQ,23/05/2026,1750,2050,1900
2026-05-23,Gujarat,Gandhinagar,Dehgam APMC,Castor Seed,Other,FAQ,23/05/2026,6250,6450,6350
2026-05-23,Gujarat,Sabarkantha,Bhiloda APMC,Wheat,Other,FAQ,23/05/2026,2400,2750,2575
2026-05-23,Gujarat,Sabarkantha,Bhiloda APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Non-FAQ,23/05/2026,5100,5250,5175
2026-05-23,Gujarat,Sabarkantha,Vadali APMC,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,23/05/2026,2000,2210,2105
2026-05-23,Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol) APMC",Cauliflower,Cauliflower,Local,23/05/2026,1050,1600,1250
2026-05-23,Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol) APMC",Green Chilli,Green Chilly,Local,23/05/2026,1750,2750,2000
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Cowpea(Veg),Cowpea (Veg),Local,23/05/2026,4000,6500,5500
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Cluster beans,Cluster Beans,Local,23/05/2026,800,4500,3000
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Tinda,Tinda,Local,23/05/2026,2000,3000,2500
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Bottle gourd,Bottle Gourd,Grade B,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Sabarkantha,Modasa(Tintoi) APMC,Wheat,Lokwan,Non-FAQ,23/05/2026,2250,2350,2350
2026-05-23,Gujarat,Surat,Bardoli(Kadod) APMC,Cauliflower,Other,Local,23/05/2026,1500,3500,2500
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Gram Raw(Chholia),Other,FAQ,23/05/2026,2000,3800,2900
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Green Chilli,Other,FAQ,23/05/2026,1500,3350,2425
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Chikoos(Sapota),Other,Medium,23/05/2026,3500,4800,4150
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Ridgeguard(Tori),Other,FAQ,23/05/2026,500,1800,1150
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Apple,Other,Medium,23/05/2026,15000,17850,16425
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Banana,Other,Medium,23/05/2026,2500,3400,2950
2026-05-23,Gujarat,Banaskanth,Diyodar APMC,Bajra(Pearl Millet/Cumbu),Other,FAQ,23/05/2026,2000,2635,2317
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Groundnut,G20,FAQ,23/05/2026,6250,8765,8050
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Bengal Gram(Gram)(Whole),White (whole),FAQ,23/05/2026,5700,8725,7250
2026-05-23,Gujarat,Amreli,Rajula APMC,Wheat,PISSI,Local,23/05/2026,1500,2500,2000
2026-05-23,Gujarat,Amreli,Rajula APMC,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,23/05/2026,3000,5450,4225
2026-05-23,Gujarat,Amreli,Rajula APMC,Black Gram(Urd Beans)(Whole),Local,Local,23/05/2026,7000,7505,7252
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Coriander(Leaves),Coriander,Local,23/05/2026,3500,4000,3750
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Cabbage,Cabbage,Medium,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Carrot,Carrot,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Potato,Potato,Medium,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Methi(Leaves),Methi,Local,23/05/2026,3500,4500,4000
2026-05-23,Gujarat,Jamnagar,Kalawad APMC,Groundnut,Other,Local,23/05/2026,4500,7500,6525
2026-05-23,Gujarat,Rajkot,Dhoraji APMC,Wheat,Milbar,Non-FAQ,23/05/2026,2020,2400,2280
2026-05-23,Gujarat,Rajkot,Dhoraji APMC,Soyabean,Yellow,Non-FAQ,23/05/2026,6850,7130,7000
2026-05-23,Gujarat,Amreli,Babra APMC,Wheat,Medium,FAQ,23/05/2026,2375,2575,2475
2026-05-23,Gujarat,Amreli,Babra APMC,Red gram/Arhar/Tur(whole),Other,FAQ,23/05/2026,5675,7075,6175
2026-05-23,Gujarat,Amreli,Damnagar APMC,Lemon,Lemon,Local,23/05/2026,7500,7500,7500
2026-05-23,Gujarat,Amreli,Damnagar APMC,Tomato,Local,Local,23/05/2026,4500,4500,4500
2026-05-23,Gujarat,Junagarh,Bhesan APMC,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,23/05/2026,6000,11000,10000
2026-05-23,Gujarat,Surendranagar,Dhragradhra APMC,Suva(Dill Seed),Suva (Dill Seed),Local,23/05/2026,5500,5500,5500
2026-05-23,Gujarat,Surendranagar,Dhragradhra APMC,Ajwan,Ajwan,Local,23/05/2026,7500,10000,9000
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Bhindi(Ladies Finger),Bhindi,Local,23/05/2026,500,2000,1250
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Green Chilli,Green Chilly,Local,23/05/2026,1000,6000,3500
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Cucumbar(Kheera),Cucumbar,Local,23/05/2026,500,2000,1250
2026-05-23,Gujarat,Bhavnagar,Taleja APMC,Jowar(Sorghum),Local,FAQ,23/05/2026,2285,4225,3255
2026-05-23,Gujarat,Bhavnagar,Taleja APMC,Wheat,Kalyan,FAQ,23/05/2026,2200,2600,2400
2026-05-23,Gujarat,Surat,Surat APMC,Bhindi(Ladies Finger),Bhindi,FAQ,23/05/2026,1500,3500,2500
2026-05-23,Gujarat,Surat,Surat APMC,Brinjal,Brinjal,FAQ,23/05/2026,1500,3000,2250
2026-05-23,Gujarat,Surat,Surat APMC,Little gourd(Kundru),Other,FAQ,23/05/2026,2000,6000,4000
2026-05-23,Gujarat,Surat,Surat APMC,Potato,Other,FAQ,23/05/2026,500,1600,1050
2026-05-23,Gujarat,Surat,Surat APMC,Green Chilli,Green Chilly,Grade A,23/05/2026,2500,5500,4000
2026-05-23,Gujarat,Surat,Surat APMC,Onion,Other,FAQ,23/05/2026,500,2300,1400
2026-05-23,Gujarat,Surat,Surat APMC,Papaya(Raw),Other,FAQ,23/05/2026,600,1300,950
2026-05-23,Gujarat,Surat,Surat APMC,Lemon,Other,FAQ,23/05/2026,3000,10000,6500
2026-05-23,Gujarat,Surat,Surat APMC,Ridgeguard(Tori),Other,FAQ,23/05/2026,1500,4500,3000
2026-05-23,Gujarat,Patan,Sami APMC,Bengal Gram(Gram)(Whole),Average (Whole),Local,23/05/2026,5350,5440,5400
2026-05-23,Gujarat,Navsari,Bilimora APMC,Green Chilli,Other,FAQ,23/05/2026,5000,6500,5800
2026-05-23,Gujarat,Navsari,Bilimora APMC,Bhindi(Ladies Finger),Other,FAQ,23/05/2026,2000,2500,2400
2026-05-23,Gujarat,Navsari,Bilimora APMC,Onion,Nasik,FAQ,23/05/2026,1000,1500,1300
2026-05-23,Gujarat,Patan,Siddhpur APMC,Castor Seed,Castor seed,FAQ,23/05/2026,6105,6540,6322
2026-05-23,Gujarat,Patan,Siddhpur APMC,Jowar(Sorghum),Jowar ( White),FAQ,23/05/2026,3505,5735,4620
2026-05-23,Gujarat,Rajkot,Jetpur(Dist.Rajkot) APMC,Cotton,Cotton (Unginned),FAQ,23/05/2026,4500,9500,9000
2026-05-23,Gujarat,Morbi,Vankaner APMC,Wheat,Lokwan,FAQ,23/05/2026,1750,2520,2250
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Pointed gourd(Parval),Other,FAQ,23/05/2026,3000,3250,3125
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,FAQ,23/05/2026,1750,6000,4000
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Spinach,Spinach,FAQ,23/05/2026,1200,1500,1350
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Bhindi(Ladies Finger),Other,FAQ,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Brinjal,Other,FAQ,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Gandhinagar,Dehgam(Rekhiyal) APMC,Wheat,Other,FAQ,23/05/2026,2300,2375,2337
2026-05-23,Gujarat,Gir Somnath,Una APMC,Cotton,Shanker 4 31mm FIne,FAQ,23/05/2026,7500,8360,8125
2026-05-23,Gujarat,Mehsana,Visnagar APMC,Wheat,Other,Local,23/05/2026,2150,2500,2325
2026-05-23,Gujarat,Mehsana,Visnagar APMC,Mustard,Other,Local,23/05/2026,5500,7550,6525
2026-05-23,Gujarat,Dahod,Dahod APMC,Wheat,147 Average,Local,23/05/2026,2500,2675,2620
2026-05-23,Gujarat,Dahod,Dahod APMC,Paddy(Common),Other,Local,23/05/2026,2150,2200,2165
2026-05-23,Gujarat,Dahod,Dahod APMC,Soyabean,Soyabeen,Local,23/05/2026,7250,7400,7325
2026-05-23,Gujarat,Ahmedabad,Viramgam APMC,Paddy(Common),Other,Local,23/05/2026,1655,2285,1970
2026-05-23,Gujarat,Amreli,Amreli APMC,Wheat,Rajasthan Tukdi,FAQ,23/05/2026,2000,2875,2350
2026-05-23,Gujarat,Amreli,Amreli APMC,Bengal Gram(Gram)(Whole),Other,FAQ,23/05/2026,5025,5700,5600
2026-05-23,Gujarat,Amreli,Amreli APMC,Green Gram(Moong)(Whole),Other,FAQ,23/05/2026,5950,8400,8250
2026-05-23,Gujarat,Amreli,Amreli APMC,Other Pulses,Other,FAQ,23/05/2026,6600,6600,6600
2026-05-23,Gujarat,Amreli,Amreli APMC,Cotton,Other,FAQ,23/05/2026,5200,10050,9300
2026-05-23,Gujarat,Amreli,Amreli APMC,Castor Seed,Castor seed,FAQ,23/05/2026,5000,6400,6375
2026-05-23,Gujarat,Sabarkantha,Modasa APMC,Maize,Hybrid Red (Cattle Feed),Non-FAQ,23/05/2026,2125,2175,2175
2026-05-23,Gujarat,Amreli,Bagasara APMC,Jowar(Sorghum),Jowar (Yellow),Local,23/05/2026,2000,2450,2225
2026-05-23,Gujarat,Amreli,Bagasara APMC,Cotton,Other,Local,23/05/2026,5950,8450,7200
2026-05-23,Gujarat,Amreli,Bagasara APMC,Red gram/Arhar/Tur(whole),777 New Ind,Local,23/05/2026,5200,6550,5875
2026-05-23,Gujarat,Amreli,Bagasara APMC,Corriander seed,"A-1, Green",Local,23/05/2026,10550,11300,10925
2026-05-23,Gujarat,Banaskanth,Vadgam APMC,Castor Seed,Other,FAQ,23/05/2026,6475,6550,6500
2026-05-23,Gujarat,Gandhinagar,Kalol APMC,Castor Seed,Other,Local,23/05/2026,6425,6640,6525
2026-05-23,Gujarat,Gandhinagar,Dehgam APMC,Bajra(Pearl Millet/Cumbu),Local,FAQ,23/05/2026,2430,2710,2570
2026-05-23,Gujarat,Banaskanth,Palanpur APMC,Rajgir,Other,Local,23/05/2026,8857.5,8857.5,8857.5
2026-05-23,Gujarat,Banaskanth,Palanpur APMC,Groundnut,Groundnut seed,Local,23/05/2026,7802.5,7802.5,7802.5
2026-05-23,Gujarat,Ahmedabad,Dholka APMC,Paddy(Common),Other,Grade Range-2,23/05/2026,1855,2575,2369
2026-05-23,Gujarat,Sabarkantha,Bhiloda APMC,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,23/05/2026,2200,2400,2300
2026-05-23,Gujarat,Sabarkantha,Vadali APMC,Jowar(Sorghum),Other,FAQ,23/05/2026,4400,4775,4587
2026-05-23,Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol) APMC",Tomato,Other,Local,23/05/2026,1250,1850,1500
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Green Chilli,Green Chilly,Local,23/05/2026,2000,6000,4500
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Little gourd(Kundru),Little gourd (Kundru),Local,23/05/2026,3000,3500,3200
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Ginger(Green),Green Ginger,Local,23/05/2026,7000,8000,7500
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Methi(Leaves),Methi,Local,23/05/2026,7000,7000,7000
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Spinach,Spinach,Local,23/05/2026,1000,2000,1500
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Bhindi(Ladies Finger),Bhindi,Grade B,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Cabbage,Cabbage,Grade B,23/05/2026,500,1000,750
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Onion,Onion,Grade B,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Green Chilli,Green Chilly,Grade B,23/05/2026,1000,2000,1500
2026-05-23,Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Bottle gourd,Other,Local,23/05/2026,800,1000,1000
2026-05-23,Gujarat,Surat,Bardoli(Kadod) APMC,Brinjal,Other,Local,23/05/2026,1500,3500,2400
2026-05-23,Gujarat,Surat,Bardoli(Kadod) APMC,Green Chilli,Other,Local,23/05/2026,1500,4200,2800
2026-05-23,Gujarat,Surat,Songadh(Badarpada) APMC,Bhindi(Ladies Finger),Bhindi,FAQ,23/05/2026,2500,4500,3500
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Bhindi(Ladies Finger),Other,FAQ,23/05/2026,500,1450,975
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Bottle gourd,Other,FAQ,23/05/2026,300,850,575
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Ginger(Green),Other,FAQ,23/05/2026,7000,10350,8675
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Lemon,Other,FAQ,23/05/2026,5000,8300,6650
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Karbuja(Musk Melon),Other,Medium,23/05/2026,500,1450,975
2026-05-23,Gujarat,Banaskanth,Diyodar APMC,Castor Seed,Castor seed,FAQ,23/05/2026,6375,6618,6492
2026-05-23,Gujarat,Chhota Udaipur,Modasar APMC,Cotton,Shanker 6 (B) 30mm FIne,FAQ,23/05/2026,7700,8560,8150
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Jowar(Sorghum),Jowar (Yellow),FAQ,23/05/2026,1780,2390,2150
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Castor Seed,Castor seed,FAQ,23/05/2026,5750,6550,6305
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Wheat,Sharbati,FAQ,23/05/2026,2290,2850,2320
2026-05-23,Gujarat,Amreli,Rajula APMC,"Sesamum(Sesame,Gingelly,Til)",Black,Local,23/05/2026,11100,15875,13487
2026-05-23,Gujarat,Amreli,Rajula APMC,Mustard,Mustard,Local,23/05/2026,6500,6500,6500
2026-05-23,Gujarat,Amreli,Rajula APMC,Groundnut,Local,Local,23/05/2026,5500,7260,6380
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Beetroot,Beetroot,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Banana,Other,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Cauliflower,Cauliflower,Medium,23/05/2026,2500,3500,3000
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Medium,23/05/2026,4500,5000,4750
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Guar,Gwar,Local,23/05/2026,3500,4500,4000
2026-05-23,Gujarat,Jamnagar,Kalawad APMC,Cummin Seed(Jeera),Other,Local,23/05/2026,17275,18675,18200
